1;1
2;2
3;1
4;3
5;4
6;1
7;4
8;5
9;6
10;2
11;2
12;2
13;7
14;8
15;7
16;9
17;4
18;2
19;2
20;4
21;2
22;5
23;1
24;2
25;7
26;2
27;2
28;2
29;9
30;6
31;1
32;10
33;9
34;6
35;7
36;3
37;11
38;8
39;2
40;10
41;12
42;8
43;4
44;8
45;13
46;5
47;4
48;6
49;14
50;1
51;1
52;1
53;8
54;5
55;1
56;13
57;1
58;8
59;1
60;10
61;5
62;2
63;3
64;4
65;5
66;8
67;3
68;1
69;6
70;9
71;7
72;13
73;8
74;3
75;12
76;2
77;5
78;11
79;10
80;6
81;11
82;12
83;1
84;6
85;14
86;1
87;10
88;4
89;8
90;10
91;1
92;6
93;1
94;3
95;3
96;6
97;2
98;8
99;4
100;3
101;1
102;11
103;2
104;2
105;8
106;8
107;8
108;3
109;14
110;8
111;8
112;8
113;10
114;2
115;5
116;4
117;2
118;7
119;5
120;8
121;10
122;7
123;10
124;12
125;6
126;7
127;5
128;2
129;10
130;2
131;5
132;5
133;12
134;10
135;6
136;11
137;11
138;1
139;7
140;9
141;8
142;4
143;3
144;11
145;1
146;8
147;8
148;5
149;12
150;14
151;7
152;8
153;10
154;5
155;9
156;11
157;7
158;12
159;12
160;5
161;8
162;12
163;7
164;4
165;5
166;14
167;8
168;14
169;11
170;5
171;5
172;3
173;3
174;3
175;9
176;6
177;5
178;3
179;2
180;3
181;6
182;12
183;7
184;10
185;8
186;5
187;3
188;6
189;10
190;13
191;10
192;8
193;3
194;1
195;5
196;1
197;14
198;1
199;6
200;12
201;12
202;1
203;5
204;4
205;14
206;3
207;5
208;1
209;7
210;1
211;8
212;8
213;5
214;2
215;12
216;9
217;4
218;11
219;2
220;7
221;1
222;6
223;10
224;10
225;3
226;1
227;1
228;8
229;3
230;9
231;3
