11,201
1754,29
424,53
420,150
1940,4
414,96
398,32
1654,7
1019,14
926,109
952,30
1267,183
1730,180
1240,3
427,54
889,169
1575,91
1482,191
1544,145
453,181
454,66
875,122
344,2
1430,100
1543,5
1447,37
1492,174
1672,85
164,112
1431,123
948,116
680,51
1710,118
1432,193
389,192
815,38
773,138
1773,97
830,90
933,34
1296,77
1009,33
1433,104
358,48
939,177
1897,135
665,130
1164,19
1663,106
2098,172
1040,179
841,105
1556,161
1847,134
667,79
1558,115
1911,164
1229,120
1904,39
1210,163
1557,113
1628,189
90,17
74,86
89,46
932,71
7,125
73,93
217,147
58,57
625,126
1798,78
328,28
253,73
298,141
731,21
537,35
1434,194
544,124
1383,20
1657,58
1688,92
1469,114
1707,155
329,1
1535,94
479,98
877,9
1509,152
152,63
1382,89
1297,139
425,12
609,142
496,72
1703,160
463,157
1222,81
880,197
196,175
397,184
332,68
500,101
1120,143
582,178
1381,60
334,13
467,26
480,196
529,132
1340,80
161,144
482,195
231,103
195,128
382,41
363,8
1189,185
487,49
94,67
482,210
1351,166
1579,170
1265,127
1885,171
520,43
316,27
2094,95
25,95
100,16
2145,64
302,64
1000,52
442,176
191,42
945,25
452,25
170,11
412,162
95,78
59,203
106,70
970,23
1258,44
1023,50
9,15
331,205
1871,110
1517,199
1304,168
174,223
1341,10
1809,0
1261,107
1263,87
1227,158
1245,215
982,215
1870,24
1857,137
185,69
323,88
1137,148
1333,204
317,209
426,221
758,216
491,45
317,206
333,76
504,188
1281,108
229,187
892,117
1328,22
1001,218
731,214
892,224
1444,99
806,186
1916,83
91,75
279,129
259,121
268,190
369,82
239,198
93,31
1608,65
502,165
92,111
432,62
175,119
127,140
317,225
117,84
218,173
867,200
1187,211
1195,217
390,230
735,213
70,40
1436,219
947,208
197,227
1165,229
197,36
1333,159
295,6
1438,133
426,18
931,136
899,131
2088,55
401,56
1419,220
549,153
16,154
474,202
519,149
519,226
1832,222
1251,74
467,207
880,212
464,47
436,167
195,182
273,102
450,151
1234,146
441,177
386,196
471,59
1476,228
114,149
322,69
489,156
1082,61
